# eventID	energy_keV
    3266	84.741
    3266	2.442
    3267	1063.655
    3267	465.873
    3267	85.236
    3268	569.697
    3268	75.251
    3268	12.627
    3269	1063.655
    3269	569.697
    3269	87.656
    3270	1063.655
    3270	569.697
    3271	1063.655
    3271	569.697
    3272	1063.655
    3272	569.697
    3272	75.250
    3273	1063.655
    3273	569.697
    3273	73.039
    3273	12.656
    3274	87.656
    3274	569.697
    3274	75.250
    3274	10.551
    3275	1063.655
    3275	569.697
    3275	75.250
    3276	85.235
    3276	569.697
    3276	75.250
    3277	1770.215
    3277	569.697
    3277	10.551
    3278	1063.655
    3278	569.697
    3278	75.250
    3278	2.341
    3279	1063.655
    3279	569.697
    3279	75.250
    3279	10.551
    3280	1063.655
    3280	569.697
    3280	84.741
    3281	1063.655
    3281	569.697
    3281	73.039
    3282	1770.215
    3282	569.697
    3283	1063.655
    3283	569.697
    3283	75.250
    3283	12.628
    3284	1063.655
    3284	569.697
    3285	1063.655
    3285	569.697
    3285	85.235
    3286	1063.655
    3286	569.697
    3287	1063.655
    3287	569.697
    3288	1063.655
    3288	569.697
    3289	569.697
    3289	75.250
    3290	1063.655
    3290	569.697
    3290	10.551
    3291	1063.655
    3291	569.697
    3291	75.250
    3291	10.551
    3291	2.341
    3292	73.039
    3292	12.656
    3292	569.697
    3292	85.235
    3293	569.697
    3293	75.250
    3294	1063.655
    3294	569.697
    3294	12.656
    3295	1063.655
    3295	569.697
    3295	10.551
    3296	1770.215
    3296	569.697
    3297	1063.655
    3297	569.697
    3297	75.250
    3298	1063.655
    3298	569.697
    3298	75.250
    3299	1063.655
    3299	569.697
    3299	75.250
    3300	1063.655
    3300	569.697
    3300	88.202
    3301	1063.655
    3301	569.697
    3301	75.250
    3301	10.551
    3302	1063.655
    3302	569.697
    3302	73.039
    3303	1063.655
    3303	569.697
    3303	75.250
    3304	1063.655
    3304	569.697
    3304	73.039
    3305	1063.655
    3305	569.697
    3305	84.741
    3306	1063.655
    3306	569.697
    3306	75.250
    3306	10.551
    3307	1063.655
    3307	569.697
    3307	73.039
    3307	12.656
    3308	1063.655
    3308	569.697
    3308	73.039
    3309	1063.655
    3309	569.697
    3309	75.250
    3310	1063.655
    3310	569.697
    3310	85.235
    3311	1063.655
    3311	569.697
    3311	73.039
    3311	12.656
    3312	1063.655
    3312	569.697
    3312	73.039
    3313	1063.655
    3313	569.697
    3313	75.250
    3313	10.551
    3314	1063.655
    3314	569.697
    3314	75.250
    3314	10.551
    3315	1063.655
    3315	569.697
    3315	85.236
    3316	1063.655
    3316	569.697
    3316	75.250
    3317	569.697
    3317	73.038
    3318	1770.215
    3318	569.697
    3319	1063.655
    3319	569.697
    3319	73.039
    3319	12.656
    3320	1063.655
    3320	569.697
    3320	75.250
    3321	569.697
    3321	10.551
    3322	1063.655
    3322	569.697
    3322	75.250
    3322	10.551
    3323	1063.655
    3323	569.697
    3323	84.741
    3324	569.697
    3324	85.235
    3325	85.235
    3325	569.697
    3325	75.250
    3326	1063.655
    3326	569.697
    3326	75.250
    3326	2.336
    3327	1063.655
    3327	569.697
    3327	75.250
    3328	819.744
    3328	569.697
    3328	75.250
    3329	569.697
    3329	75.250
    3330	1063.655
    3330	569.697
    3331	1063.655
    3331	569.697
    3331	75.250
    3332	569.697
    3332	73.039
    3332	12.656
    3333	1063.655
    3333	569.697
    3334	75.250
    3334	569.697
    3334	75.250
    3335	1063.655
    3335	569.697
    3336	1770.215
    3336	569.697
    3337	1063.655
    3337	569.697
    3337	75.250
    3337	10.551
    3338	1063.655
    3338	569.697
    3339	1063.655
    3339	569.697
    3339	75.250
    3339	10.551
    3340	1063.655
    3340	569.697
    3340	73.039
    3340	12.887
    3341	569.697
    3342	1063.655
    3342	569.697
    3342	85.235
    3343	1063.655
    3343	569.697
    3343	75.250
    3343	10.551
    3344	1063.655
    3344	569.697
    3344	73.039
    3345	1063.655
    3345	569.697
    3345	75.250
    3346	1063.655
    3346	569.697
    3346	73.039
    3346	12.656
    3347	1063.655
    3347	569.697
    3347	73.039
    3347	12.656
    3348	1063.655
    3348	569.697
    3348	73.039
    3349	1063.655
    3349	569.697
    3349	73.039
    3350	1063.655
    3350	569.697
    3350	85.235
    3351	1063.655
    3351	569.697
    3352	569.697
    3352	73.039
    3352	10.551
    3353	85.235
    3353	569.697
    3353	75.250
    3354	569.697
    3354	73.038
    3354	12.656
    3355	1063.655
    3355	569.697
    3355	10.551
    3356	1063.655
    3356	569.697
    3356	73.039
    3356	12.656
